Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
5/12/18,HMHZNMXB4M,5/11/18,4,"Huge Woodside Home! Big Kitchen, BBQ, Pool",447.4
5/12/18,HMHZNMXB4M,5/11/18,4,"Huge Woodside Home! Big Kitchen, BBQ, Pool",1789.6
5/12/18,HMHZNMXB4M,5/11/18,,"Huge Woodside Home! Big Kitchen, BBQ, Pool",
5/9/18,HMXKTKS5Y9,5/8/18,4,"Spacious 3 Bedr Apt, ideal location",965.6
5/9/18,HMXKTKS5Y9,5/8/18,4,"Spacious 3 Bedr Apt, ideal location",241.4
5/9/18,HMXKTKS5Y9,5/8/18,,"Spacious 3 Bedr Apt, ideal location",
5/8/18,HMME9D9WY2,5/7/18,4,"Huge Woodside Home! Big Kitchen, BBQ, Pool",504.82
5/8/18,HMME9D9WY2,5/7/18,4,"Huge Woodside Home! Big Kitchen, BBQ, Pool",2019.3
5/8/18,HMME9D9WY2,5/7/18,,"Huge Woodside Home! Big Kitchen, BBQ, Pool",
5/8/18,HMN55F29H9,5/7/18,7,"Large home near Stanford, huge yard, 3 Bedr/2 Bath",2150.24
5/8/18,HMN55F29H9,5/7/18,7,"Large home near Stanford, huge yard, 3 Bedr/2 Bath",537.56
5/8/18,HMN55F29H9,5/7/18,,"Large home near Stanford, huge yard, 3 Bedr/2 Bath",
5/8/18,HMZD4AFZTX,5/7/18,3,Huge Guesthouse near Stanford: 2 Bedr+office+patio,1102.4
5/8/18,HMZD4AFZTX,5/7/18,3,Huge Guesthouse near Stanford: 2 Bedr+office+patio,275.6
5/8/18,HMZD4AFZTX,5/7/18,,Huge Guesthouse near Stanford: 2 Bedr+office+patio,
5/1/18,HMMJF58CP8,4/30/18,7,"Spacious 3 Bedr Apt, ideal location",1294.77
5/1/18,HMMJF58CP8,4/30/18,7,"Spacious 3 Bedr Apt, ideal location",323.69
5/1/18,HMMJF58CP8,4/30/18,,"Spacious 3 Bedr Apt, ideal location",
5/1/18,HMWC8ADK4N,4/30/18,7,"Huge Woodside Home! Big Kitchen, BBQ, Pool",210
5/1/18,HMWC8ADK4N,4/30/18,7,"Huge Woodside Home! Big Kitchen, BBQ, Pool",840
5/1/18,HMWC8ADK4N,4/30/18,,"Huge Woodside Home! Big Kitchen, BBQ, Pool",
4/29/18,HMCFYRCDQF,4/28/18,7,Huge Guesthouse near Stanford: 2 Bedr+office+patio,1879.04
4/29/18,HMCFYRCDQF,4/28/18,7,Huge Guesthouse near Stanford: 2 Bedr+office+patio,469.76
4/29/18,HMCFYRCDQF,4/28/18,,Huge Guesthouse near Stanford: 2 Bedr+office+patio,
